REVISTA*;NÚMERO;SECCIÓN;TÍTULO;AUTOR1*;AUTOR2*;MODELO1;MODELO2;MODELO3;MODELO4;MODELO5;MODELO6
8;130;Reportajes;Potencia americana con traje italiano.;Axel E. Catton;Greg Jarem;Chevrolet Corvette Rondine;;;;;
8;131;Arquitectura;Mies Van Der Rohe. El gran analista del espacio moderno.;José Manuel Sánchez Serrano;;;;;;;
8;132;Reportajes;"Porsche 901 prototipo #7 ""Barbarroja"".";Axel E. Catton;Greg Jarem;Porsche 901;;;;;
8;133;Divulgación Técnica;Disposición de los cilindros. Parte 2. ;;;;;;;;
8;134;Reportajes;Caballos salvajes.;Ivan Ostroff;Gus Gregory;Ferrari 288 GTO;Ferrari F40;;;;
8;135;Relojes;La herencia Longines. El crono 7414 de 1966 y su calibre 30CH.;Rafael Gago de la Mata;Rawfotosport;;;;;;
8;136;Libros;Libros recomendados.;;;;;;;;
8;137;Todos los coches van al cielo;La Fórmula 1 podría volver al Jarama.;Máximo Sant;;;;;;;
9;138;Carta del editor;Esto va de libertad.;José María Vicedo;;;;;;;
9;139;Reportajes;Alfa Romeo Superflow.;Robert Coucher;Charlie Magee;Alfa Romeo Superflow;;;;;
9;140;Reportajes;Pegaso Bisiluro. Coche especial 1953 / Coche de competición.;Manuel Lage;;Pegaso Z-102;;;;;
9;141;Reportajes;Una historia en miniatura.;Juan José Poza;;Pegaso Z-102;;;;;
9;142;Reportajes;Pieza única. Recreando el Pegaso Bisiluro Z-102;José Ángel Pereda;Paco Barceló;Pegaso Z-102;;;;;
9;143;Rutas;Portugal mágico. Ruta de Oporto a Lisboa.;Willy Fog;;;;;;;
9;144;Garajes de ensueño;Thierry Dehaeck.;José María Vicedo;;;;;;;
9;145;Modelo mítico;Corvette C3. La tercera generación de la leyenda.;José María Vicedo;Josh Bryan;Chevrolet Corvette C3;;;;;
9;146;Arquitectura;Richard Neutra. Casa Tremanie: caso consolidado.;José Manuel Sánchez Serrano;Julius Schulman;;;;;;
9;147;Reportajes;Zagato. Porsche 356 Carrera Coupé Zagato Sanction II.;Axel E. Catton;Federico Vandone dell'Acqua;Porsche 356 Carrera;;;;;
9;148;Reportajes;Zagato. La historia de un mito.;José María Vicedo;;;;;;;
9;149;Divulgación Técnica;La suspensión.;;;;;;;;
9;150;Reportajes;Oportunidad dorada.;Robert Coucher;Paul Harmer;Aston Martin DB6;;;;;
9;151;Reportajes;Los origenes del Gran Turismo definitivo.;José María Vicedo;;Bentley R-Type Continental;;;;;
9;152;Relojes;Bulova Accutron 214.;Guillermo Martínez;Rawfotosport;;;;;;
9;153;Libros;Libros recomendados.;;;;;;;;
9;154;Todos los coches van al cielo;Clásicos en España. ¡Qué nivel!;Máximo Sant;;;;;;;
10;155;Carta del editor;Marcas míticas.;José María Vicedo;;;;;;;
10;156;Reportajes;Silhouette. Tesoro olvidado.;Mark Dixon;Tim Andrew;Lamborghini Silhouette;;;;;
10;157;Reportajes;El primer deportivo de la historia. Hispano-Suiza Alfonso XIII. Un coche con pedigrí.;Manuel Lage;José Bueno;Hispano-Suiza Alfonso XIII;;;;;
10;158;Rutas;Dolomitas.;Willy Fog;;;;;;;
10;159;Reportajes;Red Pig.;José Ángel Pereda;;Mercedes 300 SEL 6.8 AMG;;;;;
10;160;Modelo mítico;Ferrari Testarossa.;José María Vicedo;Kevin Van Campenhout;Ferrari Testarossa;;;;;
10;161;Modelo mítico;Ferrari 250 Testarossa.;Winston Goodfellow;Darin Schnabel;Ferrari 250 Testa Rossa;;;;;
10;162;Modelo mítico;El capricho de Agnelli. Un Ferrari a la medida.;James Page;Christian Martin ;Ferrari Testarossa;;;;;
10;163;Reportajes;La bestia de los 1000 caballos.;Yan-Alexandre Damasiewicz;Kevin Van Campenhout;Ferrari Lotec TT1000;Ferrari Testarossa;;;;
10;164;Arquitectura;Mario Botta y la Casa Bianchi: Gambito de Rey y ataque de torre.;José Manuel Sánchez Serrano;;;;;;;
10;165;Arte;Tete Navarro.;Paco Barceló;;;;;;;
10;166;Divulgación Técnica;La dirección.;;;;;;;;
10;167;Museos;Fuji Motorsports. Un tributo al mundo de las carreras.;José Ángel Pereda;Jaden Low;;;;;;
10;168;Relojes;Breitling 1884 Navitimer 806. Un reloj de piloto mítico.;Rafael Gago de la Mata;Rawfotosport;;;;;;
10;169;Libros;Libros recomendados.;;;;;;;;
10;170;Todos los coches van al cielo;Ya se nos empieza a tener en cuenta.;Máximo Sant;;;;;;;
